Qual animal mais antigo que existe? 	||	A zebra, por que ela é em preto e branco	||	Tiozão
Qual o segundo animal mais antigo que existe? 	||	A minhoca, por que ela é 2D	||	Nerd
O que uma pá falou pra outra? 	||	ôpá!	||	Especial
O que um sapo faz dentro do computador? 	||	Foi procurar A memoria RAM	||	Nerd
Sabe como faz para um passarinho rir? 	||	Taca ele na parede que ele racha o bico	||	Tiozão
Por que as velhinhas nao conseguem ver as horas? 	||	por que elas sao SEMhoras	||	Tiozão
Todas as formigas uma vez por ano se juntam dentro de uma caneta para dancar, qual o nome do filme? 	||	Independence day .... IN THE PEN DANCE DAY	||	Especial
O que o passarinho falou para a passarinha? 	||	Quer danoninho?	||	Tiozão
Papai noel voce roi unha? 	||	Rou Rou Rou...	||	Tiozão
Sabe como o pinoquio morreu? 	||	Bateu punheta e pegou fogo	||	Tiozão
Por que o bombeiro nao gota de andar? 	||	Porque ele SOcorre	||	Especial
Por que o pinheiro nao se perde na floresta? 	||	Porque ele tem uMA-PINHA	||	Especial
Uma pata botou 3 ovos, nasceu um cisnei, um marreco e um ganso, qual o nome do filme? 	||	So NaO SAi-PATINHO OH OH	||	Tiozão
O que o exalta samba foi fazer na biblioteca?	||	 Le Le... Le Le Le...	||	Tiozão
Por que o japones nao coloca a moto no seguro? 	||	Porque ele compra Y-AMAHA	||	Especial
O pinto e a pinta sairam pra jantar, quem pagou a conta? 	||	A pinta, o pinto tava duro	||	Tiozão
O exterminador do futuro chamou o tecnico para formatar o computador, o tecnico perguntou: "instala o XP?" O que o exterminador respondeu?	||	Instala vista baby!	||	Nerd
O que a nuvem falou pra outra? 	||	Nu-vem nao!	||	Especial
Por que a galinha bateu a cabeca na parede?	||	Porque ela queria um galo	||	Tiozão
O que a foca filha falou pra foca mae? 	||	Hey MOTHER-FOCA!	||	Especial
Qual estado que quer ser carro?	||	Ser-GIPE	||	Tiozão
O que o Zero falou pro Oito? 	||	Esse seu cinto ta muito apertado em	||	Tiozão
O cara vai no motel com uma velhinha e pergunta: voce faz 69?	||	Faco... ano que vem...	||	Tiozão
O que o cachorro falou para o biologo? 	||	MI-TOSE	||	Nerd
O que o cavalo foi fazer no orelhão? 	||	Passar um trote	||	Especial
O que da o cruzamento de queijo, pão e macaco 	||	um X-Panze	||	Especial
O que e um ponto azul no mapa? 	||	Blue-menal	||	Especial
Sabe qual o contrario de volatil? 	||	vem ca sobrinho	||	Tiozão
Como se fala topless em chines?	||	 Xen Xuntia	||	Tiozão
Por que as plantas novinhas nao falam? 	||	Porque elas sao mudinhas	||	Especial
O que o rato americano disse pro rato brasileiro? 	||	Camon-dongo	||	Nerd
Todas as frutas foram para o acampamento menos o mamao, sabe por quê? 	||	Ele foi papaia	||	Especial
O que o Vegeta falou pro abacate quando foi comê-lo?	||	 Maldito Kakaroço!	||	Nerd
Por que o homem tem 2 ovos e nao 3?	||	Porque um chocou e virou pinto	||	Tiozão
Qual animal tem mais de 3 olhos e menos de 4 olhos? 	||	o PI-olho	||	Nerd
O que o professor da auto-escola foi fazer no forro? 	||	Foi ensinar o Frank A-guiar	||	Tiozão
O Pele chegou em uma loja e falou para a vendedora: eu queria esse paleto. A vendedora respondeu que nao era um paleto e sim um terno. Qual o nome do filme? 	||	Pele, e-Terno	||	Especial
O que aconteceu com japones que tomou viagra e saiu correndo? 	||	Bateu com naris na parede	||	Tiozão
Por que a policia gosta de sabao? 	||	por que ela gosta de detergente	||	Especial
Como se faz um monte de velhinhas gritar merda? 	||	É só gritar BINGO	||	Tiozão
O que o cliente falou quando entrou na H.Stern? 	||	E ai? Tudo JOIA?	||	Especial
Por que a agua foi presa? 	||	Por que ela matou A sede	||	Especial
Por que o pombo nao bate nos outros animais? 	||	Porque ele tem pena...	||	Especial
O que a zebra falou pro carrapato? 	||	Você esta na minha listra negra	||	Especial
Qual o contrario de paixao? 	||	Mae-Teto	||	Especial
Qual o masculino de determine? 	||	Deter Mickey	||	Nerd
Qual a mae dos biscoitos? 	||	A maezena	||	Especial
Qual ligacao entre a baiana e do tatu? 	||	O tatu faz buraco e A baiana vatapa	||	Especial
Por que na china tem tanta gente? 	||	Porque eles comem com 2 pauzinhos	||	Tiozão
Qual a cor mais barulhenta? 	||	A COR-Neta	||	Especial
O que um escorrega falou pro outro? 	||	Aqui os anus passam depressa	||	Tiozão
O que o CÚ falou pro ÁNUS? 	||	Seu cagao!	||	Tiozão
Pra que tem cama elastica no polo norte? 	||	Pro Urso Polar	||	Especial
O que aconteceria se todos os mosquitos morressem? 	||	Seria o fim da picada	||	Especial
Qual o pico mais gelado do mundo? 	||	É o pico-lé	||	Especial
Na frase "Joao é o dono do posto de gasolina"... 	||	João é o sujeito... composto...	||	Especial
Por que o mundo e legal?	||	Porque é uma bola, se fosse duas Seria um saco	||	Tiozão
O que o esqueleto caipira disse pro outro? 	||	Ô sô!	||	Especial
O que que cai em pe e corre deitado? 	||	TRANSFORMERS!	||	Nerd
Um indio roubou e assumiu o crime, qual o nome do filme? 	||	EU ROBO	||	Nerd
Por que tem 3 camas elasticas no barco? 	||	Pros TRI-pulantes	||	Especial
Por que e mais facil jogar com Mario pequeno na fase da agua? 	||	Porque ele é "Marinho"	||	Nerd
Qual o funk que o piolho mais odeia? 	||	É o pente, é o pente, é o pente...	||	Especial
Se voce ganhar um oculos sem lentes, cuidado...	||	É armação!	||	Especial
O que uma castanha falou pra outra? 	||	É nois	||	Especial
Qual carro que acabou de sair do forno? 	||	O KIA-Soul	||	Especial
Dois pedreiros estao construindo um cinema, qual o nome do filme? 	||	Nenhum, o cinema ta sendo construido ainda	||	Especial
Como fazer um idiota esperar por 24h? 	||	Amanha EU te conto....	||	Tiozão
O que deve se fazer se for mordido por um macaco prego? 	||	Tomar uma vacina antitetanica	||	Tiozão
O que é um policial se olhando no espelho? 	||	É um policial civil	||	Especial
Qual cara que resolve o cubo magico mais rapido? 	||	O daltonico	||	Tiozão
Qual elemento é mais potente que o ZINCO? 	||	O Zeis..... (6)	||	Nerd
Eu tenho 5 enxadas e um foice, quantas ferramentas eu tenho? 	||	4, porque uma foisse...	||	Especial
Na frase: \'Proibido estacionar\' - Qual o sujeito da oracao? 	||	Sujeito A guincho	||	Tiozão
Qual o nome do cachorro do Shao Kahn? 	||	o Shao Cao	||	Tiozão
Sabe qual a mae mais brava do mundo? 	||	A eletricidade, mexe com os fio dela pra você ver...	||	Especial
Quando os americanos comeram carne pela primeira vez? 	||	Quando chegou o Cristovão com LOMBO	||	Nerd
Quando o touro vai ao dentista? 	||	Quando ele é um signo asCEM-DENTE	||	Tiozão
Ta doente? 	||	Compra um citroes KISSARA	||	Especial
Qual cantora que cuida mal de seus cachorros? 	||	A MA-DONA	||	Especial
Sabe porque a mulher do elefante nao toma pepse? 	||	Porque eLeFANTA	||	Especial
Qual estado americano nao cai duas vezes no mesmo lugar?	||	 O-HAIO	||	Nerd
Um cara bebeu um TANG laranja em paris e se matou, qual o nome do filme? 	||	O ultimo tang em paris	||	Especial
Qual cereal preferido do Dracula? 	||	A-veia	||	Nerd
Um pato chamou outros patos pra jogar bola, como terminou o jogo? 	||	Empatado	||	Especial
O que é usado na miopia? 	||	Miotorneira	||	Nerd
O que e um pontinho branco, no polo sul, malhando? 	||	O abdominavel homem das neves	||	Nerd
Por que o anao surfa na cozinha? 	||	Porque la tem micro-ondas	||	Especial
Qual o nome do filho do Magneto? 	||	Magbisneto	||	Nerd
Por que nao se deve comer uma biblia? 	||	Por que tem salmo-nela	||	Especial
Qual carro tem nome de cicatriz? 	||	o EX-CORTE	||	Tiozão
O que aconteceu com a baleia quando tomou um tiro? 	||	Ficou BALEADA	||	Tiozão
Por que ter 3 pés é coisa do diabo? 	||	Por que pra 3 pés tem que usar meia, meia, meia	||	Especial
Sabe quem e o rei das cores? 	||	o Blue REI	||	Especial
Qual ator preferido da nintendo? 	||	Wii Smith	||	Nerd
Qual presidente favorido do Zeca Pagodinho? 	||	Barack OBrahma	||	Especial
Por que a aranha é o animal mais carente? 	||	Because ARAC-NEED-YOU!	||	Nerd
Qual o nome do baile funk que so maltrata as cachorra? 	||	O fura-CAO 2000	||	Tiozão
Sabe qual o computador dos islamicos? 	||	o MaoMac	||	Especial
Sabe qual o bolo favorito do Chorão? 	||	o Charlie Brownie	||	Especial
Por que Henrique  é a pessoa mais invejada do mundo? 	||	Porque todo mundo Quer hENRIQUE-Ser	||	Especial
Qual nome da serie que dois homens se conhecem pelo correio eletronico? 	||	Dois homens e-mail	||	Especial
Por que o boi argentino foi no medico? 	||	Por que ele estava com problema no entestino DEL-GADO	||	Nerd
Sabe o que sao 4 pontos na parede? 	||	Four-migas	||	Nerd
Por que o programador não morre afogado?	||	 Porque ele usa ponto flutuante.	||	Nerd
Por que o 007 não sai da cola dos bandidos quando vira super-herói? 	||	 Porque ele vira Bond, Super Bond.	||	Nerd
O que 6 carbonos de mãos dadas estão fazendo com 6 hidrogênios na igreja?	||	BENZENO	||	Nerd
Por que o Fóton não pode fazer pizza? 	||	Por que ele não tem massa	||	Nerd
Qual é a especialidade de um técnico em informática evangélico?		|| Converter arquivos	||	Nerd
Por que a princesa Isabel não fazia limpeza de pele?	||	Pra não ter ex-cravos.	||	Nerd
O que Harry Potter lê quando está doente?	||	Saramago!	||	Nerd
Quanto é 8 dividido em duas partes?		||  Na vertical é 3, na horizontal é 0.	||	Nerd
Por que o Batman colocou o batmóvel no seguro? ||  Porque ele tem medo que robin. 	|| Heroi_Batman
Como o Batman faz para abrir a bat-caverna ? 	||	Ele bat-palma.	|| Heroi_Batman
Como o Batman conheceu o Robin?	||	Pelo bat-papo.	|| Heroi_Batman
O Batman veste o seu Bat-fato, calça os seus Bat-sapatos e coloca a sua Bat-gravata. Onde é que ele foi? ||	Ao Bat-zado. ||	Heroi_Batman
O que aconteceu quando o Super-Homem morreu?	||	O Lex ficou de Luthor	||	Heroi_Superman
Qual é o lanche preferido do Professor Xavier?	||	X-Burguer	||	Heroi_Xmen
Qual o herói que já está ficando velhinho?		||		O Vôverine		||	Heroi_Xmen
Porque o Demolidor só passa na Netflix?		||		Porque ele não TV		||		Heroi_Daredevil
O que o Magneto pediu aos pais quando era criança?		||		Uma imãzinha		||	Heroi_Xmen
Como o Batman dorme? 	||	De Bruce	|| Heroi_Batman
Onde passa reprise dos filmes do Hulk? 	||	    No Vale a Pena Verde Novo	||	Heroi_Hulk
Qual o programa preferido do Bruce Banner?	||	Caldeirão do Hulk	||	Heroi_Hulk
